0.37368,0.35263,0.83421,0.41316,0.66579,0.11053,0.21316,0.5,0.20789,0.65263
0.45257,0.092885,0.20158,0.11858,0.1917,0.32806,0.4249,0.40909,0.19368,0.20949
0.68449,0.64171,0.58289,0.28877,0.50802,0.56684,0.46524,0.71658,0.27807,0.68984
0.84536,0.3866,0.23711,0.40722,0.28866,0.48454,0.38144,0.53608,0.45876,0.43299
0.29348,0.30435,0.45652,0.19565,0.51087,0.28261,0.45652,0.28261,0.17391,0.43478
0.31724,0.49655,0.78966,0.16207,0.74828,0.66207,0.25517,0.1931,0.52414,0.47241
0.050633,0.48734,0.64346,0.21519,0.62236,0.51688,0.20675,0.033755,0.27426,0.46203
0.9434,0.45283,0.39623,0.30189,0.39623,0.35849,0.56604,0.75472,0.45283,0.30189
0.23028,0.52681,0.49211,0.29653,0.60883,0.44795,0.17035,0.10726,0.31861,0.35647
0.53072,0.28328,0.46672,0.099829,0.41382,0.16809,0.11689,0.28328,0.066553,0.24915
0.15447,0.57724,0.46341,0.45528,0.38211,0.26016,0.39024,0.23577,0.37398,0.50407
0.1685,0.37729,0.57875,0.54945,0.77289,0.77656,0.45788,0.38095,0.42857,0.58608
0.42939,0.28531,0.83595,0.20257,0.36876,0.2475,0.15835,0.22967,0.097718,0.58274
